Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-06-15 00:00:00-04:00,37.73014954713811,37.807500779447395,37.30901433155042,37.57544708251953,16727800,0.15,0
2015-06-16 00:00:00-04:00,37.738746850170415,38.57242097086456,37.60982702252398,38.36614990234375,18271600,0.15,0
2015-06-17 00:00:00-04:00,38.55522957076818,38.88182404733934,38.13409432898689,38.598201751708984,27080800,0.15,0
2015-06-18 00:00:00-04:00,36.01982287994219,36.939441100640906,35.21193492564201,36.73317337036133,79138400,0.15,0
2015-06-19 00:00:00-04:00,36.8706938427009,37.04258256031934,35.71902173039488,35.74480438232422,37430200,0.15,0
2015-06-22 00:00:00-04:00,35.92529256982026,36.062805522794434,35.62448400974156,35.65886306762695,22368300,0.15,0
2015-06-23 00:00:00-04:00,36.045605515730884,36.14874265940607,35.650256300675366,35.847930908203125,17394300,0.15,0
2015-06-24 00:00:00-04:00,35.70182610835301,35.89950072272339,35.409610748291016,35.409610748291016,17768200,0.15,0
2015-06-25 00:00:00-04:00,35.44399384179005,35.64166847871655,35.28929138183594,35.28929138183594,13587200,0.15,0
2015-06-26 00:00:00-04:00,35.3236710944092,35.55572481021138,35.21194407753828,35.22913360595703,39687300,0.15,0
2015-06-29 00:00:00-04:00,34.919723305799224,35.15177698607701,34.704859151308696,34.739234924316406,18195500,0.15,0
2015-06-30 00:00:00-04:00,34.89393709664046,35.02285689972259,34.472805193230144,34.63610076904297,16691500,0.15,0
2015-07-01 00:00:00-04:00,34.90253940267632,34.97989064189657,34.31810854602718,34.58454132080078,13948600,0.15,0
2015-07-02 00:00:00-04:00,34.70485737158544,34.7392331428303,34.50718275301926,34.68766784667969,11644100,0.15,0
2015-07-06 00:00:00-04:00,34.44611938613614,34.75667846223122,34.308093495737964,34.63590621948242,12434100,0.15,0
2015-07-07 00:00:00-04:00,34.54102026194027,34.739432316559906,34.36848703898482,34.64453887939453,16437100,0.15,0
2015-07-08 00:00:00-04:00,34.42024874504333,34.71355424323579,34.24771551831878,34.308101654052734,14598700,0.15,0
2015-07-09 00:00:00-04:00,34.71355370958788,34.92059094583651,34.635913923295256,34.66179275512695,13348300,0.15,0
2015-07-10 00:00:00-04:00,34.98960321989794,35.067243001016244,34.6876692751946,34.81707000732422,10470900,0.15,0
2015-07-13 00:00:00-04:00,34.955091705940724,35.24839714472352,34.8343194589355,35.19663619995117,10717000,0.15,0
2015-07-14 00:00:00-04:00,35.20527589434745,35.282915690862225,35.00686381232035,35.17939376831055,9298800,0.15,0
2015-07-15 00:00:00-04:00,35.04998147385553,35.30015112052932,35.04998147385553,35.18800735473633,9326700,0.15,0
2015-07-16 00:00:00-04:00,35.38643961892528,35.38643961892528,34.98961539547816,35.334678649902344,14861000,0.15,0
2015-07-17 00:00:00-04:00,35.153508416600424,35.24840184928325,34.64453724286315,34.85157775878906,14574400,0.15,0
2015-07-20 00:00:00-04:00,34.8170664329934,34.84294526044366,34.394360270122796,34.44612121582031,17488100,0.15,0
2015-07-21 00:00:00-04:00,34.299459959594834,34.497875232853126,33.98027575222525,34.135555267333984,14679100,0.15,0
2015-07-22 00:00:00-04:00,33.954403082200606,34.22182640272317,33.85950966235186,34.006160736083984,16797000,0.15,0
2015-07-23 00:00:00-04:00,34.11831229001855,34.16144477085804,33.60934111819892,33.64384841918945,18083800,0.15,0
2015-07-24 00:00:00-04:00,33.73011338086843,33.79049951220319,33.47131520503414,33.64384841918945,12030300,0.15,0
2015-07-27 00:00:00-04:00,33.40231116883853,33.488576149305935,33.186645426871955,33.22114944458008,15756800,0.15,0
2015-07-28 00:00:00-04:00,33.46268833732937,33.96303101326544,33.16075440508776,33.88539123535156,14289200,0.15,0
2015-07-29 00:00:00-04:00,33.96302032449418,34.39435155697979,33.86812692681996,34.325340270996094,13016400,0.15,0
2015-07-30 00:00:00-04:00,34.53238786613972,34.59277399369143,34.118310152586375,34.2045783996582,13634200,0.15,0
2015-07-31 00:00:00-04:00,34.29946670071098,34.61002579196481,34.24770904603332,34.45474624633789,13706100,0.15,0
2015-08-03 00:00:00-04:00,34.46338439077609,34.51514205998352,34.040678111060764,34.256343841552734,12444500,0.15,0
2015-08-04 00:00:00-04:00,34.15281730288669,34.506508887350144,34.1010563548687,34.21320343017578,9697300,0.15,0
2015-08-05 00:00:00-04:00,34.42025906244535,34.523777713190555,34.187339630169724,34.19596481323242,11982000,0.15,0
2015-08-06 00:00:00-04:00,34.18732562337332,34.368484010655145,33.77324789924461,33.919898986816406,10613000,0.15,0
2015-08-07 00:00:00-04:00,33.95440846210048,34.239085475955406,33.84226137625584,34.1269416809082,10655100,0.15,0
2015-08-10 00:00:00-04:00,34.299462593291466,34.54963553026474,34.24770494481187,34.4116096496582,9525800,0.15,0
2015-08-11 00:00:00-04:00,34.101048229291216,34.230448923104106,33.6610917937608,33.790489196777344,10600500,0.15,0
2015-08-12 00:00:00-04:00,33.419555858665476,33.95440583385153,33.212515353962736,33.88539123535156,11062300,0.15,0
2015-08-13 00:00:00-04:00,33.83363037104518,34.126935805280745,33.63521835535596,33.91127014160156,7785700,0.15,0
2015-08-14 00:00:00-04:00,33.92853201706313,34.07518312434451,33.79913127115794,33.99754333496094,7185000,0.15,0
2015-08-17 00:00:00-04:00,33.997553563207646,34.27360549944512,33.72150162697018,34.26498031616211,7631200,0.15,0
2015-08-18 00:00:00-04:00,34.09242904004318,34.532385552847224,34.08380057051544,34.35985565185547,9950600,0.15,0
2015-08-19 00:00:00-04:00,34.24772100735546,34.454758279969646,33.911282971258814,34.10106658935547,11112900,0.15,0
2015-08-20 00:00:00-04:00,33.80776187413295,34.07518858952288,33.29879057116384,33.32467269897461,13071200,0.15,0
2015-08-21 00:00:00-04:00,33.05723313129776,33.44543198954985,32.392982482910156,32.392982482910156,19411300,0.15,0
2015-08-24 00:00:00-04:00,30.822938284166103,31.57345392167893,30.313967152796003,31.1248722076416,32522300,0.15,0
2015-08-25 00:00:00-04:00,31.892639940583862,32.09967713839235,30.52100616461412,30.581392288208008,21393600,0.15,0
2015-08-26 00:00:00-04:00,31.081735359217525,31.935772861793502,30.710790142934695,31.840879440307617,20554300,0.15,0
2015-08-27 00:00:00-04:00,32.22045486843253,32.35848078739127,31.06448656310406,31.76324462890625,28218200,0.15,0
2015-08-28 00:00:00-04:00,31.797760692248133,32.341239337611015,31.72874606835515,32.31535720825195,21559100,0.15,0
2015-08-31 00:00:00-04:00,32.05654854545805,32.35847919999438,31.858136502363127,31.99616241455078,15352800,0.15,0
2015-09-01 00:00:00-04:00,31.340534896743133,31.530318437415183,30.96096123380549,31.06447982788086,19948700,0.15,0
2015-09-02 00:00:00-04:00,31.37504707265833,31.70285987854004,31.150756178611452,31.70285987854004,15049300,0.15,0
2015-09-03 00:00:00-04:00,31.754616539163322,32.15144060846081,31.720109239886014,31.832256317138672,11787800,0.15,0
2015-09-04 00:00:00-04:00,31.357783879101227,31.642464113827725,31.133493053301837,31.288772583007812,13147900,0.15,0
2015-09-08 00:00:00-04:00,31.685604263975417,32.62590684804863,31.685604263975417,32.50513458251953,18949600,0.15,0
2015-09-09 00:00:00-04:00,32.69492044607428,32.936464969703344,31.927147813058294,31.99616241455078,14710200,0.15,0
2015-09-10 00:00:00-04:00,31.944398173213614,32.729421084949394,31.944398173213614,32.44474411010742,16930600,0.15,0
2015-09-11 00:00:00-04:00,32.30671662818099,32.74667312801974,32.263584154204146,32.71216583251953,12948600,0.15,0
2015-09-14 00:00:00-04:00,32.617269317167924,32.729413069382154,32.23769572260844,32.40160369873047,15021500,0.15,0
2015-09-15 00:00:00-04:00,32.58277704955197,32.93646869521445,32.26359270853892,32.77256393432617,14877900,0.15,0
2015-09-16 00:00:00-04:00,33.005466838279666,33.22976093816746,32.720789915556104,33.014095306396484,19574000,0.15,0
2015-09-17 00:00:00-04:00,33.01410002047594,33.01410002047594,31.4871867346141,31.69422721862793,37299000,0.15,0
2015-09-18 00:00:00-04:00,31.306038640646914,31.901274879963246,31.280156514904164,31.383678436279297,34919800,0.15,0
2015-09-21 00:00:00-04:00,31.57345433728387,31.97028169076666,31.418174783920414,31.771869659423828,14964400,0.15,0
2015-09-22 00:00:00-04:00,31.34917310333602,31.47857386780485,31.029988719323878,31.219772338867188,19979700,0.15,0
2015-09-23 00:00:00-04:00,31.219765415525362,31.245647537158355,30.909209573106143,31.0472354888916,16991600,0.15,0
2015-09-24 00:00:00-04:00,30.926447181620787,31.25425983049743,30.52962324870467,31.107608795166016,18059500,0.15,0
