Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-03-31 00:00:00-04:00,44.04505907279463,44.17473657843723,43.54159992104087,43.62550735473633,4905300,0.0,0
2015-04-01 00:00:00-04:00,43.518700687689034,43.65600795341024,42.89319110381038,43.12966537475586,5322900,0.0,0
2015-04-02 00:00:00-04:00,43.23647727654828,43.63314255274519,43.03814318349154,43.266990661621094,3545900,0.0,0
2015-04-06 00:00:00-04:00,42.86268748935588,43.59499404322073,42.610959384836725,43.335636138916016,3120500,0.0,0
2015-04-07 00:00:00-04:00,43.24410253908303,43.808588502002685,43.15256529722887,43.43480682373047,3259600,0.0,0
2015-04-08 00:00:00-04:00,43.328010772248305,43.70179243225186,43.14493629748778,43.45769119262695,4142200,0.0,0
2015-04-09 00:00:00-04:00,43.26696994616492,44.121323949738304,43.122032891420616,44.07555389404297,4362200,0.0,0
2015-04-10 00:00:00-04:00,44.113708651077445,44.12896243040133,43.89249102197391,44.01454162597656,3410800,0.0,0
2015-04-13 00:00:00-04:00,44.10608504626237,44.2357654680567,43.62550945241618,43.64076614379883,3004400,0.0,0
2015-04-14 00:00:00-04:00,43.59499922536092,43.79333039462087,43.16019370321119,43.28987121582031,3875100,0.0,0
2015-04-15 00:00:00-04:00,43.56448630177869,44.7697358413482,43.472949061917866,44.62480163574219,6654600,0.0,0
2015-04-16 00:00:00-04:00,44.35017236612778,44.68581365134868,44.30440521626342,44.55613327026367,4058800,0.0,0
2015-04-17 00:00:00-04:00,44.12132364663032,44.395938159085425,43.633121362227996,43.7322883605957,5231200,0.0,0
2015-04-20 00:00:00-04:00,43.938260467220985,44.647680549267825,43.938260467220985,44.37306594848633,3220400,0.0,0
2015-04-21 00:00:00-04:00,44.90703206370327,44.90703206370327,44.266265723119055,44.36543273925781,2853700,0.0,0
2015-04-22 00:00:00-04:00,44.65530919099503,44.89941040537696,44.22050372100747,44.80024337768555,4473500,0.0,0
2015-04-23 00:00:00-04:00,41.42095603420204,41.901531483751796,41.138714603159066,41.74134063720703,22987500,0.0,0
2015-04-24 00:00:00-04:00,41.710837389826885,41.82526111366086,41.291288585629275,41.74897766113281,10533600,0.0,0
2015-04-27 00:00:00-04:00,42.19902944995867,42.94658964106341,42.02358191724265,42.38210678100586,8397300,0.0,0
2015-04-28 00:00:00-04:00,42.45119499886492,42.61237221570073,41.9369591617461,42.28234100341797,6729300,0.34,0
2015-04-29 00:00:00-04:00,41.95997181618694,42.458856883314134,41.72971829590992,42.22860336303711,5276300,0.34,0
2015-04-30 00:00:00-04:00,42.14417852809705,42.32838311036722,41.3843386520023,41.60691833496094,6756900,0.34,0
2015-05-01 00:00:00-04:00,41.99067712093577,42.54328796522666,41.76809742778164,42.45118713378906,5726700,0.34,0
2015-05-04 00:00:00-04:00,42.443511962890625,42.68144229159435,42.22093226131289,42.443511962890625,4060500,0.34,0
2015-05-05 00:00:00-04:00,42.190238081690694,42.236287039761976,41.33062044514156,41.45342254638672,7970100,0.34,0
2015-05-06 00:00:00-04:00,41.545515731103464,41.867870066788676,40.93917922979199,41.215484619140625,7737300,0.34,0
