Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-03-31 00:00:00-04:00,27.441064855269307,27.441064855269307,26.76053275087615,26.788888931274414,5476700,0.0,0
2015-04-01 00:00:00-04:00,26.675483156462622,26.817261440587938,26.179260514121953,26.377748489379883,6140500,0.0,0
2015-04-02 00:00:00-04:00,26.44154251413651,27.15752146777606,26.384832836017814,27.093721389770508,4273200,0.0,0
2015-04-06 00:00:00-04:00,26.817259840450117,27.29221395410503,26.79599134137307,27.08663558959961,4003500,0.0,0
2015-04-07 00:00:00-04:00,27.171708832020933,27.561597128742456,26.959040029994508,26.980308532714844,4385100,0.0,0
2015-04-08 00:00:00-04:00,27.0866301922234,27.292208515764568,26.710920135141038,27.192964553833008,3982000,0.0,0
2015-04-09 00:00:00-04:00,26.95194413207004,27.49069826294347,26.95194413207004,27.441076278686523,3330500,0.0,0
2015-04-10 00:00:00-04:00,27.497784846905915,27.53322873014259,27.228406466756294,27.348918914794922,2346500,0.0,0
2015-04-13 00:00:00-04:00,27.25676731777113,27.433989468466393,27.022832780839575,27.178789138793945,2902500,0.0,0
2015-04-14 00:00:00-04:00,27.029928386916705,27.12917237774821,25.994948772340877,26.79599380493164,5244900,0.0,0
2015-04-15 00:00:00-04:00,26.973213022680458,27.12916939351516,26.59041249655654,26.6187686920166,2738500,0.0,0
2015-04-16 00:00:00-04:00,26.583325725820806,26.583325725820806,26.285593775705564,26.363569259643555,3607400,0.0,0
2015-04-17 00:00:00-04:00,26.16506964345838,26.22886970496256,25.65466915142497,25.8460693359375,4682500,0.0,0
2015-04-20 00:00:00-04:00,26.12962880108623,26.186338471125023,25.924050500781576,25.931140899658203,3580700,0.0,0
2015-04-21 00:00:00-04:00,26.051668752104234,26.221803288903306,25.72558048611912,25.83900260925293,4535800,0.0,0
2015-04-22 00:00:00-04:00,25.867345160505025,26.00203301556214,25.47745428287467,25.6475887298584,4719900,0.0,0
2015-04-23 00:00:00-04:00,25.484548108571122,25.987858412918538,25.456191912896312,25.61214828491211,5108100,0.0,0
2015-04-24 00:00:00-04:00,25.271876999242643,25.36403056047695,24.8607203567076,25.08756446838379,7449100,0.0,0
2015-04-27 00:00:00-04:00,25.20099189314706,25.300235875124358,24.98832583116775,25.0450382232666,2737500,0.0,0
2015-04-28 00:00:00-04:00,25.108826368237708,25.6334049853286,25.03793860839596,25.321495056152344,3061000,0.0,0
2015-04-29 00:00:00-04:00,25.066299204658264,25.286052921352198,24.58425478116905,24.711854934692383,3902700,0.0,0
2015-04-30 00:00:00-04:00,24.577161763498307,24.931605995709326,24.44956432776164,24.562986373901367,3504700,0.0,0
2015-05-01 00:00:00-04:00,24.64096512132452,25.09465607061461,24.626789729836148,24.93869972229004,3189400,0.0,0
2015-05-04 00:00:00-04:00,24.938697704843342,25.349851629626524,24.924519610306678,25.264785766601562,2849500,0.0,0
2015-05-05 00:00:00-04:00,25.307325453016126,25.46327911782359,25.045037408580097,25.1442813873291,3335300,0.0,0
2015-05-06 00:00:00-04:00,25.300228960285594,25.342763242734634,24.938697024151104,25.037940979003906,3541100,0.0,0
2015-05-07 00:00:00-04:00,25.023758977554493,25.68302537950212,24.959958915940383,25.60504722595215,3004000,0.0,0
2015-05-08 00:00:00-04:00,25.81772488404202,26.04457175351271,25.70430280140455,25.952415466308594,2895900,0.0,0
2015-05-11 00:00:00-04:00,25.88860503685642,26.35647127891188,25.88151463841311,26.207605361938477,2914900,0.0,0
2015-05-12 00:00:00-04:00,26.044567491410824,26.15798955548717,25.817720659062818,26.087099075317383,3646600,0.0,0
2015-05-13 00:00:00-04:00,26.235958197012405,26.235958197012405,25.519982110967014,25.661760330200195,4243700,0.0,0
2015-05-14 00:00:00-04:00,25.803545551166806,25.803545551166806,24.662234497729706,24.683500289916992,7669600,0.0,0
2015-05-15 00:00:00-04:00,24.711852712462857,24.75438429034917,24.456652428365246,24.52045249938965,5486600,0.0,0
2015-05-18 00:00:00-04:00,24.279436153719796,25.023768692045813,24.194370273275688,24.874902725219727,7063900,0.0,0
2015-05-19 00:00:00-04:00,25.016679121278415,25.052123010125186,24.669322520511137,24.79692268371582,5168600,0.0,0
2015-05-20 00:00:00-04:00,24.626789804114733,24.655143291372244,23.910810843006278,23.94625473022461,10769300,0.0,0
2015-05-21 00:00:00-04:00,25.94531860754855,25.94531860754855,24.825276158293438,24.889076232910156,17991000,0.0,0
2015-05-22 00:00:00-04:00,25.158459960560236,25.328591726147874,24.194370941578107,24.336149215698242,7758600,0.0,0
2015-05-26 00:00:00-04:00,24.29361626518867,24.37868215268505,23.94625960960176,24.031328201293945,5091100,0.0,0
2015-05-27 00:00:00-04:00,24.144742521113734,24.62678690222826,24.10220823894659,24.35740852355957,5472300,0.0,0
2015-05-28 00:00:00-04:00,24.35740703453039,24.44956328816132,24.123472553204515,24.229806900024414,3863300,0.0,0
2015-05-29 00:00:00-04:00,24.215633963212316,24.78983469075712,24.215633963212316,24.598434448242188,5587000,0.0,0
2015-06-01 00:00:00-04:00,24.70476817796526,24.73312437275084,24.321970365142203,24.364501953125,4550300,0.0,0
2015-06-02 00:00:00-04:00,24.31488129844833,24.839460113981698,24.279437405119417,24.648059844970703,4087500,0.0,0
2015-06-03 00:00:00-04:00,24.626785990664576,25.16554002386497,24.54880782834199,24.8607177734375,3344100,0.0,0
2015-06-04 00:00:00-04:00,24.690593106390363,25.05921282662231,24.463746249346354,24.477924346923828,3105800,0.0,0
2015-06-05 00:00:00-04:00,24.50628054207878,24.66223691123541,24.399946162345515,24.477924346923828,3760700,0.0,0
2015-06-08 00:00:00-04:00,24.52754064247613,24.648053091810876,24.258164963624303,24.30778694152832,3572600,0.0,0
2015-06-09 00:00:00-04:00,24.31492301353948,24.586120454075072,24.08654708123241,24.14364242553711,3210000,0.23,0
2015-06-10 00:00:00-04:00,24.236418937878373,24.450521039953156,24.157914198544567,24.42197608947754,3319300,0.23,0
2015-06-11 00:00:00-04:00,24.414840864904587,24.70031218502763,24.372022072605525,24.407705307006836,2416100,0.23,0
